"207","ABIO","ARCA biopharma, Inc.","http://www.nasdaq.com/symbol/abio","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"208","ARCB","ArcBest Corporation","http://www.nasdaq.com/symbol/arcb","Transportation","Trucking Freight/Courier Services"
"209","ACGL","Arch Capital Group Ltd.","http://www.nasdaq.com/symbol/acgl","Finance","Property-Casualty Insurers"
"210","ACAT","Arctic Cat Inc.","http://www.nasdaq.com/symbol/acat","Capital Goods","Industrial Specialties"
"211","ARDX","Ardelyx, Inc.","http://www.nasdaq.com/symbol/ardx","Health Care","Major Pharmaceuticals"
"212","ARNA","Arena Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/arna","Health Care","Major Pharmaceuticals"
"213","ARCC","Ares Capital Corporation","http://www.nasdaq.com/symbol/arcc","n/a","n/a"
"214","AGII","Argo Group International Holdings, Ltd.","http://www.nasdaq.com/symbol/agii","Finance","Specialty Insurers"
"215","AGIIL","Argo Group International Holdings, Ltd.","http://www.nasdaq.com/symbol/agiil","Finance","Specialty Insurers"
"216","ARGS","Argos Therapeutics, Inc.","http://www.nasdaq.com/symbol/args","Health Care","Major Pharmaceuticals"
"217","ARIS","ARI Network Services, Inc.","http://www.nasdaq.com/symbol/aris","Technology","Computer Software: Programming, Data Processing"
"218","ARIA","ARIAD Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/aria","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"219","ARKR","Ark Restaurants Corp.","http://www.nasdaq.com/symbol/arkr","Consumer Services","Restaurants"
"220","ARMH","ARM Holdings plc","http://www.nasdaq.com/symbol/armh","Technology","Semiconductors"
"221","ARTX","Arotech Corporation","http://www.nasdaq.com/symbol/artx","Miscellaneous","Industrial Machinery/Components"
"222","ARQL","ArQule, Inc.","http://www.nasdaq.com/symbol/arql","Health Care","Major Pharmaceuticals"
"223","ARRY","Array BioPharma Inc.","http://www.nasdaq.com/symbol/arry","Health Care","Major Pharmaceuticals"
"224","ARRS","ARRIS Group, Inc.","http://www.nasdaq.com/symbol/arrs","Technology","Radio And Television Broadcasting And Communications Equipment"
"225","DWAT","Arrow DWA Tactical ETF","http://www.nasdaq.com/symbol/dwat","n/a","n/a"
"226","AROW","Arrow Financial Corporation","http://www.nasdaq.com/symbol/arow","Finance","Major Banks"
"227","ARWR","Arrowhead Research Corporation","http://www.nasdaq.com/symbol/arwr","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"228","ARTNA","Artesian Resources Corporation","http://www.nasdaq.com/symbol/artna","Public Utilities","Water Supply"
"229","ARTW","Art&#39;s-Way Manufacturing Co., Inc.","http://www.nasdaq.com/symbol/artw","Capital Goods","Industrial Machinery/Components"
"230","ARUN","Aruba Networks, Inc.","http://www.nasdaq.com/symbol/arun","Technology","Computer peripheral equipment"
"231","ASBB","ASB Bancorp, Inc.","http://www.nasdaq.com/symbol/asbb","Finance","Savings Institutions"
"232","ASNA","Ascena Retail Group, Inc.","http://www.nasdaq.com/symbol/asna","Consumer Services","Clothing/Shoe/Accessory Stores"
"233","ASND","Ascendis Pharma A/S","http://www.nasdaq.com/symbol/asnd","n/a","n/a"
"234","ASCMA","Ascent Capital Group, Inc.","http://www.nasdaq.com/symbol/ascma","Consumer Services","Other Consumer Services"
"235","ASTI","Ascent Solar Technologies, Inc.","http://www.nasdaq.com/symbol/asti","Technology","Semiconductors"
"236","APWC","Asia Pacific Wire & Cable Corporation Limited","http://www.nasdaq.com/symbol/apwc","Basic Industries","Telecommunications Equipment"
"237","ASMI","ASM International N.V.","http://www.nasdaq.com/symbol/asmi","Technology","Industrial Machinery/Components"
"238","ASML","ASML Holding N.V.","http://www.nasdaq.com/symbol/asml","Technology","Industrial Machinery/Components"
"239","AZPN","Aspen Technology, Inc.","http://www.nasdaq.com/symbol/azpn","Technology","EDP Services"
"240","ASMB","Assembly Biosciences, Inc.","http://www.nasdaq.com/symbol/asmb","Health Care","Major Pharmaceuticals"
